"region","year","min_fished_U","min_fished_V","max_fished_U","max_fished_V"
1,1950,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1951,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1952,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1953,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1954,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1955,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1956,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1957,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1958,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1959,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1960,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1961,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1962,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1963,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1964,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1965,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1966,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1967,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1968,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1969,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1970,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1971,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1972,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1973,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1974,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1975,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1976,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1977,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1978,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1979,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1980,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1981,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1982,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1983,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1984,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1985,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1986,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1987,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1988,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1989,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1990,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1991,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1992,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1993,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1994,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1995,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
1,1996,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
1,1997,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
1,1998,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,1999,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2000,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2001,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2002,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2003,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
1,2004,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2005,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2006,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2007,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2008,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2009,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2010,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2011,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
1,2012,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
1,2013,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
1,2014,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2015,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2016,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
1,2017,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
2,1880,-0.193820026016113,NA,2.43136376415899,NA
2,1889,-0.193820026016113,NA,2.43136376415899,NA
2,1890,-0.193820026016113,NA,2.43136376415899,NA
2,1891,-0.193820026016113,NA,2.43136376415899,NA
2,1892,-0.193820026016113,NA,2.43136376415899,NA
2,1905,-0.193820026016113,NA,2.43136376415899,NA
2,1906,-0.193820026016113,NA,2.43136376415899,NA
2,1907,-0.193820026016113,NA,2.43136376415899,NA
2,1908,-0.193820026016113,NA,2.43136376415899,NA
2,1911,3.33445375115093,NA,4.48410400670492,NA
2,1912,3.33445375115093,NA,4.48410400670492,NA
2,1913,3.33445375115093,NA,4.48410400670492,NA
2,1914,3.33445375115093,NA,4.48410400670492,NA
2,1915,3.33445375115093,NA,4.48410400670492,NA
2,1916,3.33445375115093,NA,4.48410400670492,NA
2,1917,1.69134676413482,NA,4.48410400670492,NA
2,1918,3.33445375115093,NA,4.48410400670492,NA
2,1919,3.33445375115093,NA,4.48410400670492,NA
2,1920,3.33445375115093,NA,4.48410400670492,NA
2,1921,1.69134676413482,NA,4.48410400670492,NA
2,1922,1.69134676413482,NA,4.48410400670492,NA
2,1923,1.69134676413482,NA,4.48410400670492,NA
2,1924,1.69134676413482,NA,4.48410400670492,NA
2,1925,1.69134676413482,NA,4.48410400670492,NA
2,1926,1.69134676413482,NA,4.48410400670492,NA
2,1927,1.69134676413482,NA,4.48410400670492,NA
2,1928,1.69134676413482,NA,4.48410400670492,NA
2,1929,1.69134676413482,NA,4.48410400670492,NA
2,1930,1.69134676413482,NA,4.48410400670492,NA
2,1931,1.69134676413482,NA,4.48410400670492,NA
2,1932,1.69134676413482,NA,4.48410400670492,NA
2,1933,1.69134676413482,NA,4.48410400670492,NA
2,1934,1.69134676413482,NA,4.48410400670492,NA
2,1935,1.69134676413482,NA,4.48410400670492,NA
2,1936,1.69134676413482,NA,4.48410400670492,NA
2,1937,1.69134676413482,NA,4.48410400670492,NA
2,1938,1.69134676413482,NA,4.48410400670492,NA
2,1939,1.69134676413482,NA,4.48410400670492,NA
2,1940,1.69134676413482,NA,4.48410400670492,NA
2,1941,1.69134676413482,NA,4.48410400670492,NA
2,1942,1.69134676413482,NA,4.48410400670492,NA
2,1943,1.69134676413482,NA,4.48410400670492,NA
2,1944,1.69134676413482,NA,4.48410400670492,NA
2,1945,1.69134676413482,NA,4.48410400670492,NA
2,1946,1.69134676413482,NA,4.48410400670492,NA
2,1947,1.69134676413482,NA,4.48410400670492,NA
2,1948,1.69134676413482,NA,4.48410400670492,NA
2,1949,1.69134676413482,NA,4.48410400670492,NA
2,1950,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
2,1951,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
2,1952,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
2,1953,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
2,1954,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
2,1955,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
2,1956,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
2,1957,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
2,1958,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
2,1959,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
2,1960,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
2,1961,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
2,1962,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
2,1963,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
2,1964,3.01629357380715,1.12763625255165,4.48410400670492,2.80102999566398
2,1965,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
2,1966,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
2,1967,1.69134676413482,1.12763625255165,4.48410400670492,2.80102999566398
